locus	isoform
11	ENST00000264257
11	ENST00000311734
11	ENST00000409584
11	ENST00000233957
11	ENST00000233969
11	ENST00000258436
11	ENST00000496253
11	ENST00000411991
11	ENST00000486293
11	ENST00000412112
11	ENST00000449772
11	ENST00000451400
11	ENST00000447380
12	ENST00000324219
12	ENST00000476609
12	ENST00000421882
12	ENST00000264257
12	ENST00000311734
12	ENST00000409584
12	ENST00000233957
12	ENST00000233969
12	ENST00000258436
12	ENST00000496253
12	ENST00000411991
12	ENST00000486293
12	ENST00000412112
12	ENST00000449772
12	ENST00000451400
12	ENST00000447380
12	ENST00000453322
13	ENST00000440317
13	ENST00000259254
13	ENST00000356887
13	ENST00000409836
13	ENST00000567613
13	ENST00000564121
13	ENST00000316724
13	ENST00000346226
13	ENST00000348750
13	ENST00000351659
13	ENST00000357970
13	ENST00000393040
13	ENST00000393041
13	ENST00000462958
13	ENST00000466111
13	ENST00000484253
13	ENST00000335247
13	ENST00000285398
13	ENST00000426778
13	ENST00000491292
13	ENST00000494464
13	ENST00000460485
13	ENST00000462306
13	ENST00000490062
13	ENST00000409947
13	ENST00000433673
13	ENST00000609697
13	ENST00000582671
13	ENST00000486700
13	ENST00000496086
13	ENST00000409658
13	ENST00000602909
13	ENST00000487079
13	ENST00000375990
14	ENST00000457361
14	ENST00000452786
14	ENST00000442445
14	ENST00000360083
14	ENST00000331683
14	ENST00000432529
14	ENST00000413312
14	ENST00000440779
14	ENST00000272898
14	ENST00000414961
14	ENST00000374309
14	ENST00000312504
14	ENST00000260947
14	ENST00000455743
14	ENST00000236959
14	ENST00000443953
14	ENST00000540518
14	ENST00000435675
14	ENST00000478734
14	ENST00000421182
14	ENST00000359671
14	ENST00000492816
14	ENST00000498719
14	ENST00000456923
14	ENST00000469569
14	ENST00000461974
14	ENST00000485567
15	ENST00000452786
15	ENST00000442445
15	ENST00000360083
15	ENST00000331683
15	ENST00000432529
15	ENST00000413312
15	ENST00000440779
15	ENST00000272898
15	ENST00000414961
15	ENST00000374309
15	ENST00000312504
15	ENST00000260947
15	ENST00000455743
15	ENST00000236959
15	ENST00000443953
15	ENST00000540518
15	ENST00000435675
15	ENST00000446622
15	ENST00000479093
15	ENST00000467388
15	ENST00000442048
15	ENST00000478734
15	ENST00000421182
15	ENST00000359671
15	ENST00000492816
15	ENST00000498719
15	ENST00000456923
15	ENST00000469569
15	ENST00000480024
15	ENST00000461974
15	ENST00000485567
15	ENST00000263268
15	ENST00000471649
15	ENST00000485763
15	ENST00000597904
16	ENST00000452786
16	ENST00000442445
16	ENST00000360083
16	ENST00000331683
16	ENST00000432529
16	ENST00000413312
16	ENST00000440779
16	ENST00000272898
16	ENST00000414961
16	ENST00000374309
16	ENST00000312504
16	ENST00000260947
16	ENST00000455743
16	ENST00000236959
16	ENST00000444305
16	ENST00000443953
16	ENST00000540518
16	ENST00000435675
16	ENST00000446622
16	ENST00000479093
16	ENST00000467388
16	ENST00000459796
16	ENST00000442048
16	ENST00000478734
16	ENST00000421182
16	ENST00000323926
16	ENST00000359671
16	ENST00000492816
16	ENST00000498719
16	ENST00000456923
16	ENST00000469569
16	ENST00000480024
16	ENST00000461974
16	ENST00000485567
16	ENST00000460217
16	ENST00000471193
16	ENST00000263268
16	ENST00000471649
16	ENST00000485763
16	ENST00000597904
17	ENST00000479831
17	ENST00000256495
17	ENST00000467610
17	ENST00000439325
17	ENST00000256497
17	ENST00000492751
17	ENST00000486284
17	ENST00000402647
17	ENST00000427748
17	ENST00000445087
17	ENST00000441861
17	ENST00000446281
18	ENST00000344838
18	ENST00000467602
18	ENST00000440022
18	ENST00000474780
18	ENST00000273047
18	ENST00000443878
18	ENST00000412966
18	ENST00000446547
18	ENST00000422242
18	ENST00000476544
18	ENST00000469122
18	ENST00000473608
18	ENST00000389050
18	ENST00000263754
18	ENST00000468400
18	ENST00000596446
18	ENST00000606582
18	ENST00000281523
18	ENST00000495739
18	ENST00000255320
19	ENST00000482193
19	ENST00000465925
19	ENST00000273588
19	ENST00000476127
19	ENST00000487589
19	ENST00000461210
19	ENST00000476828
19	ENST00000273598
19	ENST00000424915
19	ENST00000423832
19	ENST00000497742
19	ENST00000436744
19	ENST00000422593
19	ENST00000308775
19	ENST00000419218
19	ENST00000421598
19	ENST00000462439
19	ENST00000449682
19	ENST00000493836
19	ENST00000484269
19	ENST00000498021
19	ENST00000490966
19	ENST00000327697
19	ENST00000432042
19	ENST00000457726
19	ENST00000454491
19	ENST00000486102
19	ENST00000487805
19	ENST00000494005
19	ENST00000535833
19	ENST00000308375
19	ENST00000308388
19	ENST00000481959
19	ENST00000495627
19	ENST00000395238
19	ENST00000333323
19	ENST00000483751
19	ENST00000460703
19	ENST00000478688
19	ENST00000331456
19	ENST00000296471
19	ENST00000488336
19	ENST00000478149
19	ENST00000480398
19	ENST00000498324
19	ENST00000296473
19	ENST00000455683
19	ENST00000486107
19	ENST00000484985
19	ENST00000473451
19	ENST00000442092
19	ENST00000266022
19	ENST00000422955
19	ENST00000454079
19	ENST00000425608
19	ENST00000433811
19	ENST00000446471
19	ENST00000469838
19	ENST00000433556
19	ENST00000464087
19	ENST00000496179
19	ENST00000493993
19	ENST00000464988
19	ENST00000425674
19	ENST00000413852
19	ENST00000427428
19	ENST00000541861
19	ENST00000439524
19	ENST00000417121
19	ENST00000446079
19	ENST00000313601
19	ENST00000441156
19	ENST00000395152
19	ENST00000492383
19	ENST00000439898
19	ENST00000421735
19	ENST00000316436
19	ENST00000483071
19	ENST00000336307
19	ENST00000359051
19	ENST00000354862
19	ENST00000443094
19	ENST00000447092
19	ENST00000357750
19	ENST00000417867
19	ENST00000327761
19	ENST00000478619
19	ENST00000231749
19	ENST00000232501
19	ENST00000487632
19	ENST00000479512
19	ENST00000418577
19	ENST00000490926
19	ENST00000607121
19	ENST00000426034
19	ENST00000485902
19	ENST00000486175
19	ENST00000434410
19	ENST00000232854
19	ENST00000455834
19	ENST00000430409
19	ENST00000357955
19	ENST00000528157
19	ENST00000446668
19	ENST00000409535
19	ENST00000341333
19	ENST00000415259
19	ENST00000354698
19	ENST00000427617
19	ENST00000440261
19	ENST00000448461
19	ENST00000457782
19	ENST00000454212
19	ENST00000421967
19	ENST00000358459
19	ENST00000395696
19	ENST00000438607
19	ENST00000477624
19	ENST00000346691
19	ENST00000436480
19	ENST00000456089
19	ENST00000492235
19	ENST00000426002
19	ENST00000442747
19	ENST00000460105
19	ENST00000420764
19	ENST00000489483
19	ENST00000469693
19	ENST00000607025
19	ENST00000294129
19	ENST00000416649
19	ENST00000470006
19	ENST00000454134
19	ENST00000328631
19	ENST00000479914
19	ENST00000340879
19	ENST00000432678
19	ENST00000416707
19	ENST00000449610
19	ENST00000417896
19	ENST00000265563
19	ENST00000416209
19	ENST00000319017
19	ENST00000356401
19	ENST00000478224
19	ENST00000492077
19	ENST00000449376
19	ENST00000463738
19	ENST00000490095
19	ENST00000466850
19	ENST00000463204
19	ENST00000452385
19	ENST00000383729
19	ENST00000472301
19	ENST00000484115
19	ENST00000475629
19	ENST00000468374
19	ENST00000486817
19	ENST00000491739
19	ENST00000608424
19	ENST00000452875
19	ENST00000471162
19	ENST00000491365
19	ENST00000498023
19	ENST00000492780
19	ENST00000341949
19	ENST00000438585
19	ENST00000441576
19	ENST00000498498
19	ENST00000467457
19	ENST00000484872
19	ENST00000442157
19	ENST00000395443
19	ENST00000489642
19	ENST00000411682
19	ENST00000475599
19	ENST00000482438
19	ENST00000305544
19	ENST00000498377
19	ENST00000542580
19	ENST00000321895
19	ENST00000332780
19	ENST00000471811
19	ENST00000440528
19	ENST00000479673
19	ENST00000436325
19	ENST00000351842
19	ENST00000431357
19	ENST00000475873
19	ENST00000464168
19	ENST00000419783
19	ENST00000419349
19	ENST00000418115
19	ENST00000422781
19	ENST00000273590
2	ENST00000372259
2	ENST00000479101
2	ENST00000414156
2	ENST00000457571
2	ENST00000355387
2	ENST00000361799
2	ENST00000496262
2	ENST00000335497
2	ENST00000471494
2	ENST00000475378
2	ENST00000372244
2	ENST00000480686
2	ENST00000372237
2	ENST00000372235
2	ENST00000357508
2	ENST00000441519
2	ENST00000444751
2	ENST00000434520
2	ENST00000418779
2	ENST00000568406
2	ENST00000396651
2	ENST00000485390
2	ENST00000465443
2	ENST00000476731
2	ENST00000489976
2	ENST00000360403
2	ENST00000439363
2	ENST00000477953
2	ENST00000486296
2	ENST00000463092
2	ENST00000461035
2	ENST00000472254
2	ENST00000465678
2	ENST00000485271
2	ENST00000462388
2	ENST00000461495
2	ENST00000431473
2	ENST00000372565
2	ENST00000433602
2	ENST00000461083
2	ENST00000372556
2	ENST00000475614
2	ENST00000428554
2	ENST00000477155
2	ENST00000507855
2	ENST00000426743
2	ENST00000342022
2	ENST00000514642
2	ENST00000390640
2	ENST00000471699
2	ENST00000304979
2	ENST00000455203
2	ENST00000461351
2	ENST00000414339
2	ENST00000332220
2	ENST00000397054
2	ENST00000460031
2	ENST00000236040
2	ENST00000495874
2	ENST00000472802
2	ENST00000481465
2	ENST00000372525
2	ENST00000603943
2	ENST00000447572
2	ENST00000372521
2	ENST00000537227
2	ENST00000497437
2	ENST00000487556
2	ENST00000372517
2	ENST00000328249
2	ENST00000414798
2	ENST00000397044
2	ENST00000372500
2	ENST00000460369
2	ENST00000431759
2	ENST00000416689
2	ENST00000431635
2	ENST00000236051
2	ENST00000472982
2	ENST00000372492
2	ENST00000439858
2	ENST00000432792
2	ENST00000372476
2	ENST00000433781
2	ENST00000473014
2	ENST00000424948
2	ENST00000310955
2	ENST00000372458
2	ENST00000497050
2	ENST00000290663
2	ENST00000372457
2	ENST00000372455
2	ENST00000473560
2	ENST00000406439
2	ENST00000562955
2	ENST00000470139
2	ENST00000372442
2	ENST00000470897
2	ENST00000372433
2	ENST00000372434
2	ENST00000372430
2	ENST00000372432
2	ENST00000372427
2	ENST00000486909
2	ENST00000469587
2	ENST00000444386
2	ENST00000496043
2	ENST00000437607
2	ENST00000467464
2	ENST00000412568
2	ENST00000372407
2	ENST00000477970
2	ENST00000372396
2	ENST00000463151
2	ENST00000472265
2	ENST00000481296
2	ENST00000418149
2	ENST00000489897
2	ENST00000330208
2	ENST00000361400
2	ENST00000372365
2	ENST00000446167
2	ENST00000372343
2	ENST00000480902
2	ENST00000486876
2	ENST00000472174
2	ENST00000532642
2	ENST00000236067
2	ENST00000471859
2	ENST00000468183
2	ENST00000473485
2	ENST00000498208
2	ENST00000498664
2	ENST00000372324
2	ENST00000497866
2	ENST00000309519
2	ENST00000481924
2	ENST00000486064
2	ENST00000372307
2	ENST00000372318
2	ENST00000463846
2	ENST00000485811
2	ENST00000466180
2	ENST00000479055
2	ENST00000472562
2	ENST00000372310
2	ENST00000492434
2	ENST00000315913
2	ENST00000372289
2	ENST00000463950
2	ENST00000488433
2	ENST00000483741
2	ENST00000494092
20	ENST00000482193
20	ENST00000465925
20	ENST00000273588
20	ENST00000476127
20	ENST00000487589
20	ENST00000461210
20	ENST00000476828
20	ENST00000273598
20	ENST00000424915
20	ENST00000423832
20	ENST00000497742
20	ENST00000436744
20	ENST00000422593
20	ENST00000308775
20	ENST00000419218
20	ENST00000421598
20	ENST00000462439
20	ENST00000449682
20	ENST00000493836
20	ENST00000484269
20	ENST00000498021
20	ENST00000490966
20	ENST00000327697
20	ENST00000432042
20	ENST00000457726
20	ENST00000454491
20	ENST00000486102
20	ENST00000487805
20	ENST00000494005
20	ENST00000535833
20	ENST00000308375
20	ENST00000308388
20	ENST00000481959
20	ENST00000495627
20	ENST00000395238
20	ENST00000333323
20	ENST00000483751
20	ENST00000460703
20	ENST00000478688
20	ENST00000331456
20	ENST00000296471
20	ENST00000488336
20	ENST00000478149
20	ENST00000480398
20	ENST00000498324
20	ENST00000296473
20	ENST00000455683
20	ENST00000486107
20	ENST00000484985
20	ENST00000473451
20	ENST00000442092
20	ENST00000266022
20	ENST00000422955
20	ENST00000454079
20	ENST00000425608
20	ENST00000433811
20	ENST00000446471
20	ENST00000469838
20	ENST00000433556
20	ENST00000464087
20	ENST00000496179
20	ENST00000493993
20	ENST00000464988
20	ENST00000425674
20	ENST00000413852
20	ENST00000427428
20	ENST00000541861
20	ENST00000439524
20	ENST00000417121
20	ENST00000446079
20	ENST00000313601
20	ENST00000441156
20	ENST00000395152
20	ENST00000492383
20	ENST00000439898
20	ENST00000421735
20	ENST00000316436
20	ENST00000483071
20	ENST00000336307
20	ENST00000359051
20	ENST00000354862
20	ENST00000443094
20	ENST00000447092
20	ENST00000357750
20	ENST00000417867
20	ENST00000327761
20	ENST00000478619
20	ENST00000231749
20	ENST00000232501
20	ENST00000487632
20	ENST00000479512
20	ENST00000418577
20	ENST00000490926
20	ENST00000607121
20	ENST00000426034
20	ENST00000485902
20	ENST00000486175
20	ENST00000434410
20	ENST00000232854
20	ENST00000455834
20	ENST00000430409
20	ENST00000357955
20	ENST00000528157
20	ENST00000446668
20	ENST00000409535
20	ENST00000341333
20	ENST00000415259
20	ENST00000354698
20	ENST00000427617
20	ENST00000440261
20	ENST00000448461
20	ENST00000457782
20	ENST00000454212
20	ENST00000421967
20	ENST00000358459
20	ENST00000395696
20	ENST00000438607
20	ENST00000477624
20	ENST00000346691
20	ENST00000436480
20	ENST00000456089
20	ENST00000492235
20	ENST00000426002
20	ENST00000460105
20	ENST00000420764
20	ENST00000489483
20	ENST00000469693
20	ENST00000607025
20	ENST00000294129
20	ENST00000416649
20	ENST00000470006
20	ENST00000454134
20	ENST00000328631
20	ENST00000479914
20	ENST00000340879
20	ENST00000432678
20	ENST00000416707
20	ENST00000449610
20	ENST00000417896
20	ENST00000265563
20	ENST00000416209
20	ENST00000319017
20	ENST00000356401
20	ENST00000478224
20	ENST00000492077
20	ENST00000449376
20	ENST00000463738
20	ENST00000490095
20	ENST00000466850
20	ENST00000463204
20	ENST00000452385
20	ENST00000383729
20	ENST00000472301
20	ENST00000484115
20	ENST00000475629
20	ENST00000468374
20	ENST00000486817
20	ENST00000491739
20	ENST00000608424
20	ENST00000452875
20	ENST00000471162
20	ENST00000491365
20	ENST00000498023
20	ENST00000492780
20	ENST00000341949
20	ENST00000438585
20	ENST00000441576
20	ENST00000498498
20	ENST00000467457
20	ENST00000484872
20	ENST00000442157
20	ENST00000395443
20	ENST00000489642
20	ENST00000411682
20	ENST00000475599
20	ENST00000482438
20	ENST00000305544
20	ENST00000498377
20	ENST00000542580
20	ENST00000321895
20	ENST00000332780
20	ENST00000471811
20	ENST00000440528
20	ENST00000479673
20	ENST00000436325
20	ENST00000351842
20	ENST00000431357
20	ENST00000475873
20	ENST00000464168
20	ENST00000419783
20	ENST00000419349
20	ENST00000418115
20	ENST00000422781
20	ENST00000273590
21	ENST00000482193
21	ENST00000465925
21	ENST00000273588
21	ENST00000476127
21	ENST00000487589
21	ENST00000461210
21	ENST00000476828
21	ENST00000273598
21	ENST00000424915
21	ENST00000423832
21	ENST00000497742
21	ENST00000436744
21	ENST00000422593
21	ENST00000308775
21	ENST00000419218
21	ENST00000421598
21	ENST00000462439
21	ENST00000449682
21	ENST00000493836
21	ENST00000484269
21	ENST00000498021
21	ENST00000490966
21	ENST00000327697
21	ENST00000432042
21	ENST00000457726
21	ENST00000454491
21	ENST00000486102
21	ENST00000487805
21	ENST00000494005
21	ENST00000535833
21	ENST00000308375
21	ENST00000308388
21	ENST00000481959
21	ENST00000495627
21	ENST00000395238
21	ENST00000333323
21	ENST00000483751
21	ENST00000460703
21	ENST00000478688
21	ENST00000331456
21	ENST00000296471
21	ENST00000488336
21	ENST00000478149
21	ENST00000480398
21	ENST00000498324
21	ENST00000296473
21	ENST00000455683
21	ENST00000486107
21	ENST00000484985
21	ENST00000473451
21	ENST00000442092
21	ENST00000266022
21	ENST00000422955
21	ENST00000454079
21	ENST00000425608
21	ENST00000433811
21	ENST00000446471
21	ENST00000469838
21	ENST00000433556
21	ENST00000464087
21	ENST00000496179
21	ENST00000493993
21	ENST00000464988
21	ENST00000425674
21	ENST00000413852
21	ENST00000427428
21	ENST00000541861
21	ENST00000439524
21	ENST00000417121
21	ENST00000446079
21	ENST00000313601
21	ENST00000441156
21	ENST00000395152
21	ENST00000492383
21	ENST00000439898
21	ENST00000421735
21	ENST00000316436
21	ENST00000483071
21	ENST00000336307
21	ENST00000359051
21	ENST00000354862
21	ENST00000443094
21	ENST00000447092
21	ENST00000357750
21	ENST00000417867
21	ENST00000327761
21	ENST00000478619
21	ENST00000231749
21	ENST00000232501
21	ENST00000487632
21	ENST00000479512
21	ENST00000418577
21	ENST00000490926
21	ENST00000607121
21	ENST00000426034
21	ENST00000485902
21	ENST00000486175
21	ENST00000434410
21	ENST00000232854
21	ENST00000455834
21	ENST00000430409
21	ENST00000357955
21	ENST00000528157
21	ENST00000446668
21	ENST00000409535
21	ENST00000341333
21	ENST00000415259
21	ENST00000354698
21	ENST00000427617
21	ENST00000440261
21	ENST00000448461
21	ENST00000457782
21	ENST00000454212
21	ENST00000421967
21	ENST00000358459
21	ENST00000395696
21	ENST00000438607
21	ENST00000477624
21	ENST00000346691
21	ENST00000436480
21	ENST00000456089
21	ENST00000492235
21	ENST00000426002
21	ENST00000460105
21	ENST00000420764
21	ENST00000489483
21	ENST00000469693
21	ENST00000607025
21	ENST00000294129
21	ENST00000416649
21	ENST00000470006
21	ENST00000454134
21	ENST00000328631
21	ENST00000479914
21	ENST00000340879
21	ENST00000432678
21	ENST00000416707
21	ENST00000449610
21	ENST00000417896
21	ENST00000265563
21	ENST00000416209
21	ENST00000319017
21	ENST00000356401
21	ENST00000478224
21	ENST00000492077
21	ENST00000449376
21	ENST00000463738
21	ENST00000490095
21	ENST00000466850
21	ENST00000463204
21	ENST00000452385
21	ENST00000383729
21	ENST00000472301
21	ENST00000484115
21	ENST00000475629
21	ENST00000468374
21	ENST00000486817
21	ENST00000491739
21	ENST00000608424
21	ENST00000452875
21	ENST00000471162
21	ENST00000491365
21	ENST00000498023
21	ENST00000492780
21	ENST00000341949
21	ENST00000438585
21	ENST00000441576
21	ENST00000498498
21	ENST00000467457
21	ENST00000484872
21	ENST00000442157
21	ENST00000395443
21	ENST00000489642
21	ENST00000411682
21	ENST00000475599
21	ENST00000482438
21	ENST00000305544
21	ENST00000498377
21	ENST00000542580
21	ENST00000321895
21	ENST00000332780
21	ENST00000471811
21	ENST00000440528
21	ENST00000479673
21	ENST00000436325
21	ENST00000351842
21	ENST00000431357
21	ENST00000475873
21	ENST00000464168
21	ENST00000419783
21	ENST00000419349
21	ENST00000418115
21	ENST00000422781
21	ENST00000273590
22	ENST00000264245
22	ENST00000475397
22	ENST00000319172
22	ENST00000468545
22	ENST00000468676
22	ENST00000481043
22	ENST00000493694
22	ENST00000463927
22	ENST00000357003
22	ENST00000497116
22	ENST00000482573
22	ENST00000477539
22	ENST00000609361
22	ENST00000487512
22	ENST00000397729
22	ENST00000484092
22	ENST00000496994
22	ENST00000425327
22	ENST00000393775
22	ENST00000480431
22	ENST00000467604
22	ENST00000359213
22	ENST00000393765
23	ENST00000264245
23	ENST00000475397
23	ENST00000319172
23	ENST00000468545
23	ENST00000468676
23	ENST00000481043
23	ENST00000493694
23	ENST00000463927
23	ENST00000357003
23	ENST00000497116
23	ENST00000482573
23	ENST00000477539
23	ENST00000609361
23	ENST00000487512
23	ENST00000397729
23	ENST00000484092
23	ENST00000496994
23	ENST00000425327
23	ENST00000393775
23	ENST00000480431
23	ENST00000467604
23	ENST00000359213
23	ENST00000393765
24	ENST00000509932
24	ENST00000273854
24	ENST00000432638
24	ENST00000511294
24	ENST00000503625
24	ENST00000502400
24	ENST00000508720
24	ENST00000500538
24	ENST00000226413
25	ENST00000511112
26	ENST00000511112
27	ENST00000303221
27	ENST00000505896
27	ENST00000514111
27	ENST00000506190
27	ENST00000607844
27	ENST00000510303
27	ENST00000515175
27	ENST00000513414
27	ENST00000510040
27	ENST00000281631
27	ENST00000503707
27	ENST00000515166
27	ENST00000505554
27	ENST00000505180
28	ENST00000503075
28	ENST00000509373
28	ENST00000515093
28	ENST00000514011
28	ENST00000509179
28	ENST00000514092
28	ENST00000514158
28	ENST00000514571
28	ENST00000515763
28	ENST00000274376
28	ENST00000456692
28	ENST00000511417
28	ENST00000511087
28	ENST00000510089
28	ENST00000296595
28	ENST00000503755
28	ENST00000515477
28	ENST00000513011
28	ENST00000504922
28	ENST00000501869
28	ENST00000504769
28	ENST00000496733
28	ENST00000510087
28	ENST00000504636
28	ENST00000506584
28	ENST00000512724
28	ENST00000507736
28	ENST00000514065
28	ENST00000506041
28	ENST00000606189
28	ENST00000504034
28	ENST00000506978
28	ENST00000506664
28	ENST00000506014
28	ENST00000502301
28	ENST00000513805
28	ENST00000500197
28	ENST00000511014
28	ENST00000513893
28	ENST00000509265
28	ENST00000508719
28	ENST00000504921
28	ENST00000437473
28	ENST00000514015
28	ENST00000539796
29	ENST00000503075
29	ENST00000509373
29	ENST00000515093
29	ENST00000514011
29	ENST00000509179
29	ENST00000514092
29	ENST00000514158
29	ENST00000514571
29	ENST00000515763
29	ENST00000274376
29	ENST00000456692
29	ENST00000511417
29	ENST00000511087
29	ENST00000510089
29	ENST00000296595
29	ENST00000503755
29	ENST00000515477
29	ENST00000513011
29	ENST00000504922
29	ENST00000501869
29	ENST00000504769
29	ENST00000496733
29	ENST00000510087
29	ENST00000504636
29	ENST00000506584
29	ENST00000512724
29	ENST00000507736
29	ENST00000514065
29	ENST00000506041
29	ENST00000606189
29	ENST00000504034
29	ENST00000506978
29	ENST00000506664
29	ENST00000506014
29	ENST00000502301
29	ENST00000513805
29	ENST00000500197
29	ENST00000511014
29	ENST00000513893
29	ENST00000509265
29	ENST00000508719
29	ENST00000504921
29	ENST00000437473
29	ENST00000514015
29	ENST00000539796
3	ENST00000372259
3	ENST00000479101
3	ENST00000414156
3	ENST00000457571
3	ENST00000355387
3	ENST00000361799
3	ENST00000496262
3	ENST00000335497
3	ENST00000471494
3	ENST00000475378
3	ENST00000372244
3	ENST00000480686
3	ENST00000372237
3	ENST00000372235
3	ENST00000357508
3	ENST00000441519
3	ENST00000444751
3	ENST00000434520
3	ENST00000418779
3	ENST00000568406
3	ENST00000396651
3	ENST00000485390
3	ENST00000465443
3	ENST00000476731
3	ENST00000489976
3	ENST00000360403
3	ENST00000439363
3	ENST00000477953
3	ENST00000486296
3	ENST00000463092
3	ENST00000461035
3	ENST00000472254
3	ENST00000465678
3	ENST00000485271
3	ENST00000462388
3	ENST00000461495
3	ENST00000431473
3	ENST00000372565
3	ENST00000433602
3	ENST00000461083
3	ENST00000372556
3	ENST00000475614
3	ENST00000428554
3	ENST00000477155
3	ENST00000507855
3	ENST00000426743
3	ENST00000342022
3	ENST00000514642
3	ENST00000390640
3	ENST00000471699
3	ENST00000304979
3	ENST00000455203
3	ENST00000461351
3	ENST00000414339
3	ENST00000332220
3	ENST00000397054
3	ENST00000460031
3	ENST00000236040
3	ENST00000495874
3	ENST00000472802
3	ENST00000481465
3	ENST00000372525
3	ENST00000603943
3	ENST00000447572
3	ENST00000372521
3	ENST00000537227
3	ENST00000497437
3	ENST00000487556
3	ENST00000372517
3	ENST00000328249
3	ENST00000414798
3	ENST00000397044
3	ENST00000372500
3	ENST00000460369
3	ENST00000431759
3	ENST00000416689
3	ENST00000431635
3	ENST00000236051
3	ENST00000472982
3	ENST00000372492
3	ENST00000439858
3	ENST00000432792
3	ENST00000372476
3	ENST00000433781
3	ENST00000473014
3	ENST00000424948
3	ENST00000310955
3	ENST00000372458
3	ENST00000497050
3	ENST00000290663
3	ENST00000372457
3	ENST00000372455
3	ENST00000473560
3	ENST00000406439
3	ENST00000562955
3	ENST00000470139
3	ENST00000372442
