locus	intron
10	2:262786:263211:clu_7_NA
10	2:271939:272037:clu_14_NA
10	2:271939:272192:clu_14_NA
10	2:272065:272192:clu_14_NA
10	2:272150:275140:clu_15_NA
10	2:272305:275140:clu_15_NA
10	2:675630:677289:clu_9_NA
10	2:676238:677289:clu_9_NA
10	2:741130:747658:clu_31_NA
10	2:741130:776833:clu_31_NA
10	2:748635:749734:clu_31_NA
10	2:749856:750243:clu_31_NA
10	2:749856:776833:clu_31_NA
10	2:1094096:1099091:clu_49_NA
10	2:1099128:1133308:clu_49_NA
10	2:1204889:1241660:clu_50_NA
10	2:1204916:1206143:clu_50_NA
10	2:1243548:1263142:clu_51_NA
10	2:1320147:1343333:clu_64_NA
10	2:1696906:1712447:clu_98_NA
10	2:1696906:1747952:clu_98_NA
10	2:1711602:1712447:clu_98_NA
11	2:102805770:102828560:clu_3429_NA
11	2:104408560:104428564:clu_3473_NA
11	2:104473333:104473498:clu_3475_NA
11	2:104476101:104496470:clu_3475_NA
11	2:104670078:104688589:clu_3476_NA
11	2:105358491:105362309:clu_3495_NA
11	2:105358491:105363197:clu_3495_NA
12	2:102805770:102828560:clu_3429_NA
12	2:104408560:104428564:clu_3473_NA
12	2:104473333:104473498:clu_3475_NA
12	2:104476101:104496470:clu_3475_NA
12	2:104670078:104688589:clu_3476_NA
12	2:105358491:105362309:clu_3495_NA
12	2:105358491:105363197:clu_3495_NA
13	2:127961147:127977565:clu_4048_NA
13	2:127966831:127977565:clu_4048_NA
13	2:128100770:128144721:clu_4059_NA
13	2:128146574:128146687:clu_4061_NA
13	2:128146574:128155523:clu_4061_NA
13	2:128146761:128155523:clu_4061_NA
13	2:128146761:128163391:clu_4061_NA
13	2:128415136:128415536:clu_4085_NA
13	2:128431995:128432195:clu_4085_NA
13	2:128467156:128467267:clu_4090_NA
13	2:128642472:128649790:clu_4100_NA
13	2:128643686:128646819:clu_4100_NA
13	2:128747440:128753924:clu_4106_NA
14	2:214162081:214181943:clu_6370_NA
14	2:215301482:215440396:clu_6381_NA
14	2:215646233:215657021:clu_6384_NA
14	2:216238260:216262455:clu_6406_NA
14	2:216271227:216271850:clu_6411_NA
14	2:216271233:216271850:clu_6411_NA
14	2:216811836:216861029:clu_6424_NA
15	2:214162081:214181943:clu_6370_NA
15	2:215301482:215440396:clu_6381_NA
15	2:215646233:215657021:clu_6384_NA
15	2:216213972:216227369:clu_6403_NA
15	2:216227202:216227369:clu_6403_NA
15	2:216238260:216262455:clu_6406_NA
15	2:216271227:216271850:clu_6411_NA
15	2:216271233:216271850:clu_6411_NA
15	2:216811836:216861029:clu_6424_NA
16	2:214162081:214181943:clu_6370_NA
16	2:215301482:215440396:clu_6381_NA
16	2:215646233:215657021:clu_6384_NA
16	2:216213972:216223791:clu_6403_NA
16	2:216213972:216227369:clu_6403_NA
16	2:216216804:216227369:clu_6403_NA
16	2:216227202:216227369:clu_6403_NA
16	2:216238260:216262455:clu_6406_NA
16	2:216271227:216271850:clu_6411_NA
16	2:216271233:216271850:clu_6411_NA
16	2:216811836:216861029:clu_6424_NA
17	3:4856115:4863398:clu_38224_NA
17	3:4856844:4867430:clu_38224_NA
17	3:4863452:4867430:clu_38224_NA
17	3:4866565:4867430:clu_38224_NA
17	3:4870590:4872631:clu_38224_NA
17	3:5214425:5215702:clu_38234_NA
17	3:5255876:5257514:clu_38238_NA
17	3:6761958:6762596:clu_38251_NA
17	3:6811805:6870318:clu_38251_NA
17	3:6903594:7340371:clu_38253_NA
17	3:7188355:7456710:clu_38253_NA
17	3:7494494:7503274:clu_38254_NA
18	3:19924223:19925238:clu_38810_NA
18	3:19924223:19925917:clu_38810_NA
18	3:19924223:19929936:clu_38810_NA
18	3:19925422:19925895:clu_38810_NA
18	3:19926107:19938154:clu_38810_NA
18	3:19926107:19938179:clu_38810_NA
18	3:19941007:19941440:clu_38811_NA
18	3:19941557:19947112:clu_38811_NA
18	3:19956905:19958603:clu_38812_NA
18	3:19958695:19959724:clu_38812_NA
18	3:19961468:19961997:clu_38813_NA
18	3:19961468:19974722:clu_38813_NA
18	3:19961468:19977633:clu_38813_NA
18	3:19961468:19988411:clu_38813_NA
18	3:19962059:19974722:clu_38813_NA
18	3:19962059:19987647:clu_38813_NA
18	3:19962059:19988411:clu_38813_NA
18	3:19974957:19977633:clu_38813_NA
18	3:19977826:19978536:clu_38813_NA
18	3:19977826:19984110:clu_38813_NA
18	3:19977826:19984728:clu_38813_NA
18	3:19977826:19987647:clu_38813_NA
18	3:19977826:19988411:clu_38813_NA
18	3:19978633:19984110:clu_38813_NA
18	3:19978633:19987647:clu_38813_NA
18	3:19978633:19988411:clu_38813_NA
18	3:19983617:19984110:clu_38813_NA
18	3:19983617:19988411:clu_38813_NA
18	3:19984167:19984728:clu_38813_NA
18	3:19984167:19988411:clu_38813_NA
18	3:19984837:19985616:clu_38813_NA
18	3:19984837:19987647:clu_38813_NA
18	3:19984837:19988411:clu_38813_NA
18	3:19985741:19987647:clu_38813_NA
18	3:19985741:19988411:clu_38813_NA
18	3:19987746:19988140:clu_38813_NA
18	3:19987757:19988411:clu_38813_NA
18	3:19987836:19988411:clu_38813_NA
18	3:19988259:19988411:clu_38813_NA
18	3:20019895:20020961:clu_38817_NA
18	3:20164465:20167397:clu_38821_NA
19	3:48340013:48341767:clu_39724_NA
19	3:48461666:48462074:clu_39747_NA
19	3:48630696:48630789:clu_39810_NA
19	3:48688014:48688792:clu_39834_NA
19	3:48730612:48732523:clu_39845_NA
19	3:48731673:48732523:clu_39845_NA
19	3:48732851:48754590:clu_39846_NA
19	3:48732854:48754590:clu_39846_NA
19	3:48960244:48964895:clu_39867_NA
19	3:48982614:48986499:clu_39868_NA
19	3:49051549:49051643:clu_39880_NA
19	3:49053747:49053862:clu_39899_NA
19	3:49053773:49053862:clu_39899_NA
19	3:49162602:49162686:clu_39930_NA
19	3:49162602:49162702:clu_39930_NA
19	3:49170301:49170388:clu_39935_NA
19	3:49236540:49249199:clu_39945_NA
19	3:49237006:49273981:clu_39945_NA
19	3:49251430:49273981:clu_39945_NA
19	3:49336068:49337900:clu_39952_NA
19	3:49365249:49372902:clu_39955_NA
19	3:49592259:49662408:clu_39974_NA
19	3:49711846:49711922:clu_39982_NA
19	3:49721622:49721747:clu_39985_NA
19	3:49721622:49721794:clu_39985_NA
19	3:49721622:49721804:clu_39985_NA
19	3:49722522:49722904:clu_39994_NA
19	3:49735959:49736413:clu_40002_NA
19	3:49738142:49738924:clu_40004_NA
19	3:49738142:49738966:clu_40004_NA
19	3:49751607:49752925:clu_40012_NA
19	3:49751607:49753008:clu_40012_NA
19	3:49758538:49758618:clu_40016_NA
19	3:49846592:49847083:clu_40031_NA
19	3:49848878:49849303:clu_40035_NA
19	3:49877293:49881234:clu_40040_NA
19	3:49878505:49879259:clu_40040_NA
19	3:49927493:49927918:clu_40050_NA
19	3:49934323:49934713:clu_40052_NA
19	3:49948317:49950653:clu_40054_NA
19	3:50000118:50009492:clu_40056_NA
19	3:50006181:50009492:clu_40056_NA
19	3:50220997:50222025:clu_40080_NA
19	3:50242781:50251582:clu_40086_NA
19	3:50298748:50300399:clu_40093_NA
19	3:50299967:50300399:clu_40093_NA
19	3:50311077:50311190:clu_40099_NA
19	3:50325702:50325840:clu_40102_NA
19	3:50327725:50327819:clu_40104_NA
19	3:50380637:50380994:clu_40114_NA
19	3:50388991:50395757:clu_40123_NA
19	3:50597168:50599153:clu_40146_NA
19	3:50597168:50604894:clu_40146_NA
19	3:50609232:50614483:clu_40148_NA
19	3:50645573:50645804:clu_40157_NA
2	1:42847450:42862111:clu_10597_NA
2	1:42922254:42922918:clu_10603_NA
2	1:42922473:42922918:clu_10603_NA
2	1:43119114:43119497:clu_10614_NA
2	1:43220888:43223454:clu_10625_NA
2	1:43222126:43222251:clu_10625_NA
2	1:43222536:43223454:clu_10625_NA
2	1:43282251:43282425:clu_10629_NA
2	1:43291409:43296115:clu_10634_NA
2	1:43296786:43300709:clu_10634_NA
2	1:43315084:43315382:clu_10639_NA
2	1:43681064:43736577:clu_10659_NA
2	1:43703350:43705633:clu_10659_NA
2	1:43713630:43727513:clu_10659_NA
2	1:43727577:43736577:clu_10659_NA
2	1:43727589:43736416:clu_10659_NA
2	1:43727589:43736577:clu_10659_NA
2	1:43775203:43776285:clu_10671_NA
2	1:43831294:43850717:clu_10681_NA
2	1:43853278:43853981:clu_10683_NA
2	1:43870221:43875164:clu_10686_NA
2	1:43886974:43888151:clu_10690_NA
2	1:43893116:43893201:clu_10695_NA
2	1:43893405:43893674:clu_10696_NA
2	1:43894157:43895374:clu_10697_NA
2	1:43913369:43913520:clu_10712_NA
2	1:43996761:44003869:clu_10724_NA
2	1:44085529:44085766:clu_10735_NA
2	1:44085892:44086125:clu_10735_NA
2	1:44118984:44119334:clu_10737_NA
2	1:44132226:44132543:clu_10739_NA
2	1:44386600:44387115:clu_10746_NA
2	1:44386600:44395691:clu_10746_NA
2	1:44432454:44432987:clu_10761_NA
2	1:44436892:44437059:clu_10768_NA
2	1:44440286:44441472:clu_10769_NA
2	1:44440779:44441762:clu_10769_NA
2	1:44441646:44441762:clu_10769_NA
2	1:44475768:44489920:clu_10783_NA
2	1:44680113:44680211:clu_10793_NA
2	1:45140545:45153868:clu_10816_NA
2	1:45162842:45166595:clu_10816_NA
2	1:45189578:45189794:clu_10816_NA
2	1:45277770:45278224:clu_10845_NA
2	1:45295205:45295286:clu_10857_NA
2	1:45435716:45443987:clu_10853_NA
2	1:45478691:45478964:clu_10870_NA
2	1:45813672:45851584:clu_10892_NA
2	1:45851632:45887397:clu_10892_NA
20	3:48340013:48341767:clu_39724_NA
20	3:48461666:48462074:clu_39747_NA
20	3:48630696:48630789:clu_39810_NA
20	3:48688014:48688792:clu_39834_NA
20	3:48730612:48732523:clu_39845_NA
20	3:48731673:48732523:clu_39845_NA
20	3:48732851:48754590:clu_39846_NA
20	3:48732854:48754590:clu_39846_NA
20	3:48960244:48964895:clu_39867_NA
20	3:48982614:48986499:clu_39868_NA
20	3:49051549:49051643:clu_39880_NA
20	3:49053747:49053862:clu_39899_NA
20	3:49053773:49053862:clu_39899_NA
20	3:49162602:49162686:clu_39930_NA
20	3:49162602:49162702:clu_39930_NA
20	3:49170301:49170388:clu_39935_NA
20	3:49236540:49249199:clu_39945_NA
20	3:49237006:49273981:clu_39945_NA
20	3:49251430:49273981:clu_39945_NA
20	3:49336068:49337900:clu_39952_NA
20	3:49365249:49372902:clu_39955_NA
20	3:49592259:49662408:clu_39974_NA
20	3:49711846:49711922:clu_39982_NA
20	3:49721622:49721747:clu_39985_NA
20	3:49721622:49721794:clu_39985_NA
20	3:49721622:49721804:clu_39985_NA
20	3:49722522:49722904:clu_39994_NA
20	3:49735959:49736413:clu_40002_NA
20	3:49738142:49738924:clu_40004_NA
20	3:49738142:49738966:clu_40004_NA
20	3:49751607:49752925:clu_40012_NA
20	3:49751607:49753008:clu_40012_NA
20	3:49758538:49758618:clu_40016_NA
20	3:49846592:49847083:clu_40031_NA
20	3:49848878:49849303:clu_40035_NA
20	3:49877293:49881234:clu_40040_NA
20	3:49878505:49879259:clu_40040_NA
20	3:49927493:49927918:clu_40050_NA
20	3:49934323:49934713:clu_40052_NA
20	3:49948317:49950653:clu_40054_NA
20	3:50000118:50009492:clu_40056_NA
20	3:50006181:50009492:clu_40056_NA
20	3:50220997:50222025:clu_40080_NA
20	3:50242781:50251582:clu_40086_NA
20	3:50298748:50300399:clu_40093_NA
20	3:50299967:50300399:clu_40093_NA
20	3:50311077:50311190:clu_40099_NA
20	3:50325702:50325840:clu_40102_NA
20	3:50327725:50327819:clu_40104_NA
20	3:50380637:50380994:clu_40114_NA
20	3:50388991:50395757:clu_40123_NA
20	3:50597168:50599153:clu_40146_NA
20	3:50597168:50604894:clu_40146_NA
20	3:50609232:50614483:clu_40148_NA
20	3:50645573:50645804:clu_40157_NA
21	3:48340013:48341767:clu_39724_NA
21	3:48461666:48462074:clu_39747_NA
21	3:48630696:48630789:clu_39810_NA
21	3:48688014:48688792:clu_39834_NA
21	3:48730612:48732523:clu_39845_NA
21	3:48731673:48732523:clu_39845_NA
21	3:48732851:48754590:clu_39846_NA
21	3:48732854:48754590:clu_39846_NA
21	3:48960244:48964895:clu_39867_NA
21	3:48982614:48986499:clu_39868_NA
21	3:49051549:49051643:clu_39880_NA
21	3:49053747:49053862:clu_39899_NA
21	3:49053773:49053862:clu_39899_NA
21	3:49162602:49162686:clu_39930_NA
21	3:49162602:49162702:clu_39930_NA
21	3:49170301:49170388:clu_39935_NA
21	3:49236540:49249199:clu_39945_NA
21	3:49237006:49273981:clu_39945_NA
21	3:49251430:49273981:clu_39945_NA
21	3:49336068:49337900:clu_39952_NA
21	3:49365249:49372902:clu_39955_NA
21	3:49592259:49662408:clu_39974_NA
21	3:49711846:49711922:clu_39982_NA
21	3:49721622:49721747:clu_39985_NA
21	3:49721622:49721794:clu_39985_NA
21	3:49721622:49721804:clu_39985_NA
21	3:49722522:49722904:clu_39994_NA
21	3:49735959:49736413:clu_40002_NA
21	3:49738142:49738924:clu_40004_NA
21	3:49738142:49738966:clu_40004_NA
21	3:49751607:49752925:clu_40012_NA
21	3:49751607:49753008:clu_40012_NA
21	3:49758538:49758618:clu_40016_NA
21	3:49846592:49847083:clu_40031_NA
21	3:49848878:49849303:clu_40035_NA
21	3:49877293:49881234:clu_40040_NA
21	3:49878505:49879259:clu_40040_NA
21	3:49927493:49927918:clu_40050_NA
21	3:49934323:49934713:clu_40052_NA
21	3:49948317:49950653:clu_40054_NA
21	3:50000118:50009492:clu_40056_NA
21	3:50006181:50009492:clu_40056_NA
21	3:50220997:50222025:clu_40080_NA
21	3:50242781:50251582:clu_40086_NA
21	3:50298748:50300399:clu_40093_NA
21	3:50299967:50300399:clu_40093_NA
21	3:50311077:50311190:clu_40099_NA
21	3:50325702:50325840:clu_40102_NA
21	3:50327725:50327819:clu_40104_NA
21	3:50380637:50380994:clu_40114_NA
21	3:50388991:50395757:clu_40123_NA
21	3:50597168:50599153:clu_40146_NA
21	3:50597168:50604894:clu_40146_NA
21	3:50609232:50614483:clu_40148_NA
21	3:50645573:50645804:clu_40157_NA
22	3:118668165:118753378:clu_41621_NA
22	3:119102073:119109632:clu_41629_NA
22	3:119154782:119155638:clu_41632_NA
22	3:119156496:119156602:clu_41633_NA
22	3:119187853:119188667:clu_41635_NA
22	3:119187953:119188704:clu_41635_NA
23	3:118668165:118753378:clu_41621_NA
23	3:119102073:119109632:clu_41629_NA
23	3:119154782:119155638:clu_41632_NA
23	3:119156496:119156602:clu_41633_NA
23	3:119187853:119188667:clu_41635_NA
23	3:119187953:119188704:clu_41635_NA
24	4:66536391:66561734:clu_74149_NA
24	4:66536391:66567896:clu_74149_NA
24	4:66563749:66566001:clu_74149_NA
24	4:66563749:66566005:clu_74149_NA
24	4:66563749:66566026:clu_74149_NA
24	4:66563749:66567896:clu_74149_NA
24	4:66566123:66567896:clu_74149_NA
27	5:50046022:50055477:clu_45332_NA
27	5:50053049:50055477:clu_45332_NA
27	5:50059076:50073903:clu_45334_NA
27	5:50074484:50084357:clu_45334_NA
27	5:50118234:50122589:clu_45339_NA
28	5:86957930:87044671:clu_46275_NA
28	5:86957930:87077067:clu_46275_NA
28	5:86957930:87125113:clu_46275_NA
28	5:87039999:87077067:clu_46275_NA
28	5:87146222:87158763:clu_46275_NA
28	5:87167144:87172066:clu_46276_NA
28	5:87343511:87348103:clu_46271_NA
28	5:87416945:87424937:clu_46271_NA
28	5:87516536:87517118:clu_46285_NA
28	5:87516536:87536630:clu_46285_NA
28	5:87517288:87521586:clu_46285_NA
28	5:87564844:87565285:clu_46288_NA
28	5:87566402:87732090:clu_46289_NA
28	5:87577923:87578532:clu_46289_NA
28	5:87578683:87583253:clu_46290_NA
28	5:87686278:87732090:clu_46289_NA
28	5:87688159:87703899:clu_46289_NA
28	5:87688159:87732090:clu_46289_NA
28	5:87703915:87705890:clu_46289_NA
28	5:87706011:87732090:clu_46289_NA
28	5:87836859:87837853:clu_46297_NA
28	5:87836941:87837853:clu_46297_NA
28	5:87907591:87966854:clu_46298_NA
28	5:87968846:87973348:clu_46298_NA
28	5:87968908:87974165:clu_46298_NA
28	5:87972269:87980475:clu_46298_NA
28	5:87989591:87989903:clu_46309_NA
28	5:87989591:87989975:clu_46309_NA
28	5:87989591:87990481:clu_46309_NA
28	5:87989591:87990651:clu_46309_NA
28	5:87989591:87991120:clu_46309_NA
28	5:88043146:88043475:clu_46293_NA
28	5:88070401:88074563:clu_46306_NA
28	5:88183415:88183773:clu_46321_NA
28	5:88183415:88184706:clu_46321_NA
28	5:88183415:88185013:clu_46321_NA
28	5:88231422:88236630:clu_46319_NA
29	5:86957930:87044671:clu_46275_NA
29	5:86957930:87077067:clu_46275_NA
29	5:86957930:87125113:clu_46275_NA
29	5:87039999:87077067:clu_46275_NA
29	5:87146222:87158763:clu_46275_NA
29	5:87167144:87172066:clu_46276_NA
29	5:87343511:87348103:clu_46271_NA
29	5:87416945:87424937:clu_46271_NA
29	5:87516536:87517118:clu_46285_NA
29	5:87516536:87536630:clu_46285_NA
29	5:87517288:87521586:clu_46285_NA
29	5:87564844:87565285:clu_46288_NA
29	5:87566402:87732090:clu_46289_NA
29	5:87577923:87578532:clu_46289_NA
29	5:87578683:87583253:clu_46290_NA
29	5:87686278:87732090:clu_46289_NA
29	5:87688159:87703899:clu_46289_NA
29	5:87688159:87732090:clu_46289_NA
29	5:87703915:87705890:clu_46289_NA
29	5:87706011:87732090:clu_46289_NA
29	5:87836859:87837853:clu_46297_NA
29	5:87836941:87837853:clu_46297_NA
29	5:87907591:87966854:clu_46298_NA
29	5:87968846:87973348:clu_46298_NA
29	5:87968908:87974165:clu_46298_NA
29	5:87972269:87980475:clu_46298_NA
29	5:87989591:87989903:clu_46309_NA
29	5:87989591:87989975:clu_46309_NA
29	5:87989591:87990481:clu_46309_NA
29	5:87989591:87990651:clu_46309_NA
29	5:87989591:87991120:clu_46309_NA
29	5:88043146:88043475:clu_46293_NA
29	5:88070401:88074563:clu_46306_NA
29	5:88183415:88183773:clu_46321_NA
29	5:88183415:88184706:clu_46321_NA
29	5:88183415:88185013:clu_46321_NA
29	5:88231422:88236630:clu_46319_NA
3	1:42847450:42862111:clu_10597_NA
3	1:42922254:42922918:clu_10603_NA
3	1:42922473:42922918:clu_10603_NA
3	1:43119114:43119497:clu_10614_NA
3	1:43220888:43223454:clu_10625_NA
3	1:43222126:43222251:clu_10625_NA
3	1:43222536:43223454:clu_10625_NA
3	1:43282251:43282425:clu_10629_NA
3	1:43291409:43296115:clu_10634_NA
3	1:43296786:43300709:clu_10634_NA
3	1:43315084:43315382:clu_10639_NA
3	1:43681064:43736577:clu_10659_NA
3	1:43703350:43705633:clu_10659_NA
3	1:43713630:43727513:clu_10659_NA
3	1:43727577:43736577:clu_10659_NA
3	1:43727589:43736416:clu_10659_NA
3	1:43727589:43736577:clu_10659_NA
3	1:43775203:43776285:clu_10671_NA
3	1:43831294:43850717:clu_10681_NA
3	1:43853278:43853981:clu_10683_NA
3	1:43870221:43875164:clu_10686_NA
3	1:43886974:43888151:clu_10690_NA
3	1:43893116:43893201:clu_10695_NA
3	1:43893405:43893674:clu_10696_NA
3	1:43894157:43895374:clu_10697_NA
3	1:43913369:43913520:clu_10712_NA
3	1:43996761:44003869:clu_10724_NA
3	1:44085529:44085766:clu_10735_NA
3	1:44085892:44086125:clu_10735_NA
3	1:44118984:44119334:clu_10737_NA
3	1:44132226:44132543:clu_10739_NA
3	1:44386600:44387115:clu_10746_NA
3	1:44386600:44395691:clu_10746_NA
3	1:44432454:44432987:clu_10761_NA
3	1:44436892:44437059:clu_10768_NA
3	1:44440286:44441472:clu_10769_NA
3	1:44440779:44441762:clu_10769_NA
3	1:44441646:44441762:clu_10769_NA
3	1:44475768:44489920:clu_10783_NA
3	1:44680113:44680211:clu_10793_NA
3	1:45140545:45153868:clu_10816_NA
3	1:45162842:45166595:clu_10816_NA
3	1:45189578:45189794:clu_10816_NA
3	1:45277770:45278224:clu_10845_NA
3	1:45295205:45295286:clu_10857_NA
3	1:45435716:45443987:clu_10853_NA
3	1:45478691:45478964:clu_10870_NA
3	1:45813672:45851584:clu_10892_NA
3	1:45851632:45887397:clu_10892_NA
30	5:86957930:87044671:clu_46275_NA
30	5:86957930:87077067:clu_46275_NA
30	5:86957930:87125113:clu_46275_NA
30	5:87039999:87077067:clu_46275_NA
30	5:87146222:87158763:clu_46275_NA
30	5:87167144:87172066:clu_46276_NA
30	5:87343511:87348103:clu_46271_NA
30	5:87416945:87424937:clu_46271_NA
30	5:87516536:87517118:clu_46285_NA
30	5:87516536:87536630:clu_46285_NA
30	5:87517288:87521586:clu_46285_NA
30	5:87564844:87565285:clu_46288_NA
30	5:87566402:87732090:clu_46289_NA
30	5:87577923:87578532:clu_46289_NA
30	5:87578683:87583253:clu_46290_NA
30	5:87686278:87732090:clu_46289_NA
30	5:87688159:87703899:clu_46289_NA
30	5:87688159:87732090:clu_46289_NA
30	5:87703915:87705890:clu_46289_NA
30	5:87706011:87732090:clu_46289_NA
30	5:87836859:87837853:clu_46297_NA
30	5:87836941:87837853:clu_46297_NA
30	5:87907591:87966854:clu_46298_NA
30	5:87968846:87973348:clu_46298_NA
30	5:87968908:87974165:clu_46298_NA
30	5:87972269:87980475:clu_46298_NA
30	5:87989591:87989903:clu_46309_NA
30	5:87989591:87989975:clu_46309_NA
30	5:87989591:87990481:clu_46309_NA
30	5:87989591:87990651:clu_46309_NA
30	5:87989591:87991120:clu_46309_NA
30	5:88043146:88043475:clu_46293_NA
30	5:88070401:88074563:clu_46306_NA
30	5:88183415:88183773:clu_46321_NA
30	5:88183415:88184706:clu_46321_NA
30	5:88183415:88185013:clu_46321_NA
30	5:88231422:88236630:clu_46319_NA
31	5:102323275:102325976:clu_46620_NA
31	5:102345570:102355494:clu_46623_NA
32	5:144761281:145083538:clu_47755_NA
32	5:145140039:145144494:clu_47755_NA
32	5:145144563:145155633:clu_47755_NA
32	5:145153981:145155633:clu_47755_NA
32	5:145176105:145197457:clu_47755_NA
32	5:145464135:145465024:clu_47763_NA
32	5:145508345:145508541:clu_47767_NA
32	5:145531565:145533297:clu_47766_NA
32	5:145532790:145533297:clu_47766_NA
33	6:24876045:24936066:clu_83260_NA
33	6:25472749:25482485:clu_83276_NA
33	6:25577221:25577344:clu_83281_NA
33	6:25581667:25592941:clu_83282_NA
33	6:25689445:25689701:clu_83289_NA
33	6:25836462:25836639:clu_83296_NA
33	6:25993146:25993625:clu_83306_NA
33	6:25993146:25994225:clu_83306_NA
33	6:25993759:25998131:clu_83306_NA
33	6:26087744:26092837:clu_83310_NA
33	6:26091332:26092913:clu_83310_NA
33	6:26093145:26093347:clu_83310_NA
33	6:26093254:26093347:clu_83310_NA
33	6:26383409:26384020:clu_83335_NA
33	6:26383527:26384020:clu_83335_NA
33	6:26402640:26404363:clu_83338_NA
33	6:26402640:26405600:clu_83338_NA
33	6:26411809:26412640:clu_83333_NA
33	6:26446213:26448845:clu_83346_NA
33	6:26463753:26465413:clu_83344_NA
33	6:26463753:26465446:clu_83344_NA
33	6:26463753:26466181:clu_83344_NA
33	6:26466316:26468510:clu_83349_NA
33	6:26474624:26476389:clu_83349_NA
33	6:26538729:26540129:clu_83354_NA
33	6:26538729:26545355:clu_83354_NA
33	6:26540254:26545355:clu_83354_NA
33	6:26597451:26598493:clu_83356_NA
33	6:26673968:26687347:clu_83360_NA
33	6:26675145:26675274:clu_83360_NA
33	6:26675145:26681383:clu_83360_NA
33	6:26675422:26676724:clu_83360_NA
33	6:26675422:26677841:clu_83360_NA
33	6:26677310:26677841:clu_83360_NA
33	6:26677930:26680880:clu_83360_NA
33	6:26677930:26681553:clu_83360_NA
33	6:26680978:26683026:clu_83360_NA
33	6:26681627:26687347:clu_83360_NA
33	6:26787871:26846479:clu_83363_NA
33	6:26796219:26799487:clu_83363_NA
33	6:26796219:26846479:clu_83363_NA
33	6:26827745:26846479:clu_83363_NA
33	6:26834080:26846479:clu_83363_NA
33	6:26846194:26846479:clu_83363_NA
33	6:26851296:26892899:clu_83364_NA
33	6:26892271:26892899:clu_83364_NA
33	6:26893054:26924245:clu_83365_NA
33	6:27331081:27335296:clu_83378_NA
33	6:27331081:27337915:clu_83378_NA
33	6:27335391:27337915:clu_83378_NA
33	6:27338003:27342973:clu_83378_NA
33	6:27656281:27670093:clu_83387_NA
33	6:28090989:28093401:clu_83407_NA
33	6:28090989:28104532:clu_83407_NA
34	6:24876045:24936066:clu_83260_NA
34	6:25472749:25482485:clu_83276_NA
34	6:25577221:25577344:clu_83281_NA
34	6:25581667:25592941:clu_83282_NA
34	6:25689445:25689701:clu_83289_NA
34	6:25836462:25836639:clu_83296_NA
34	6:25993146:25993625:clu_83306_NA
34	6:25993146:25994225:clu_83306_NA
34	6:25993759:25998131:clu_83306_NA
34	6:26087744:26092837:clu_83310_NA
34	6:26091332:26092913:clu_83310_NA
34	6:26093145:26093347:clu_83310_NA
34	6:26383409:26384020:clu_83335_NA
34	6:26383527:26384020:clu_83335_NA
34	6:26402640:26404363:clu_83338_NA
34	6:26402640:26405600:clu_83338_NA
34	6:26411809:26412640:clu_83333_NA
