locus	probe
10	ENSG00000233296.2
10	ENSG00000237667.7
10	chr2:1094096:1099091:clu_232101_
10	chr2:1094096:1133308:clu_232101_
10	chr2:1099128:1133308:clu_232101_
10	chr2:1133495:1137765:clu_232102_
10	chr2:1137829:1161234:clu_232102_
10	chr2:1152350:1161234:clu_232102_
10	ENSG00000172554.12
10	chr2:1161321:1204789:clu_232103_
10	chr2:1243548:1263142:clu_232105_
10	chr2:1251215:1260177:clu_232105_
10	chr2:1260693:1263142:clu_232105_
10	chr2:1263213:1264515:clu_232119_
10	chr2:1263213:1265590:clu_232119_
10	chr2:1266721:1271137:clu_232119_
10	chr2:1286777:1312266:clu_232106_
10	chr2:1286777:1312271:clu_232106_
10	chr2:1320147:1334504:clu_232120_
10	chr2:1320147:1335739:clu_232120_
10	chr2:1370871:1371115:clu_232120_
11	chr2:101515828:101521195:clu_236960_
11	chr2:101607334:101609809:clu_236976_
11	ENSG00000115602.17
11	chr2:102953797:102954308:clu_237105_
11	chr2:102953797:102955297:clu_237105_
11	chr2:102955482:102956558:clu_237106_
11	chr2:102957288:102957648:clu_237107_
11	chr2:102956732:102958683:clu_237107_
11	chr2:102957817:102958683:clu_237107_
11	chr2:102958754:102959538:clu_237108_
11	chr2:102959637:102959717:clu_237109_
11	chr2:102959637:102959736:clu_237109_
11	ENSG00000115604.12
11	chr2:102979178:102988413:clu_237113_
11	chr2:102979178:102992367:clu_237113_
11	chr2:102988578:102990397:clu_237113_
11	chr2:102990453:102992367:clu_237113_
11	chr2:102992523:103001338:clu_237114_
11	ENSG00000115616.3
11	chr2:105124542:105128501:clu_237146_
11	chr2:105470027:105471086:clu_237158_
11	chr2:105470027:105516206:clu_237158_
11	ENSG00000269707.2
11	chr2:105515570:105516206:clu_237158_
11	chr2:105705527:105705869:clu_237173_
11	chr2:105705527:105706378:clu_237173_
12	chr2:101515828:101521195:clu_236960_
12	chr2:101607334:101609809:clu_236976_
12	ENSG00000115602.17
12	chr2:102953797:102954308:clu_237105_
12	chr2:102953797:102955297:clu_237105_
12	chr2:102955482:102956558:clu_237106_
12	chr2:102957288:102957648:clu_237107_
12	chr2:102956732:102958683:clu_237107_
12	chr2:102957817:102958683:clu_237107_
12	chr2:102958754:102959538:clu_237108_
12	chr2:102959637:102959717:clu_237109_
12	chr2:102959637:102959736:clu_237109_
12	ENSG00000115604.12
12	chr2:102979178:102988413:clu_237113_
12	chr2:102979178:102992367:clu_237113_
12	chr2:102988578:102990397:clu_237113_
12	chr2:102990453:102992367:clu_237113_
12	chr2:102992523:103001338:clu_237114_
12	ENSG00000115616.3
12	chr2:105123864:105124423:clu_237146_
12	chr2:105124542:105128501:clu_237146_
12	chr2:105134859:105136654:clu_237147_
12	chr2:105134859:105148939:clu_237147_
12	chr2:105137115:105148939:clu_237147_
12	chr2:105470027:105471086:clu_237158_
12	chr2:105470027:105516206:clu_237158_
12	ENSG00000269707.2
12	chr2:105515570:105516206:clu_237158_
12	chr2:105705527:105705869:clu_237173_
12	chr2:105705527:105706378:clu_237173_
13	chr2:127808488:127808730:clu_93420_
13	chr2:127808819:127809831:clu_93420_
13	chr2:127808819:127816587:clu_93420_
13	chr2:127809938:127816587:clu_93420_
13	chr2:127815177:127816587:clu_93420_
13	chr2:127816731:127818172:clu_93421_
13	chr2:127816731:127819691:clu_93421_
13	chr2:127821594:127825739:clu_93422_
13	chr2:127821594:127826500:clu_93422_
13	ENSG00000136717.15
13	chr2:127834282:127839408:clu_93423_
13	chr2:127834282:127864436:clu_93423_
13	ENSG00000163161.14
13	chr2:128050280:128051089:clu_93448_
13	chr2:128050422:128051089:clu_93448_
13	ENSG00000169967.16
13	chr2:128146574:128146687:clu_237956_
13	chr2:128146574:128155523:clu_237956_
13	chr2:128146761:128155523:clu_237956_
13	ENSG00000236682.2
13	chr2:128146761:128157287:clu_237956_
13	chr2:128146761:128163391:clu_237956_
13	chr2:128146761:128163395:clu_237956_
13	chr2:128146761:128163465:clu_237956_
13	chr2:128169388:128172425:clu_93464_
13	chr2:128172499:128173555:clu_93464_
13	chr2:128172499:128173703:clu_93464_
13	chr2:128167543:128183656:clu_93464_
13	chr2:128167543:128183714:clu_93464_
13	chr2:128172499:128183656:clu_93464_
13	chr2:128172499:128183714:clu_93464_
13	chr2:128167543:128192203:clu_93464_
13	chr2:128183713:128185559:clu_93464_
13	chr2:128183713:128185704:clu_93464_
13	chr2:128183964:128185559:clu_93464_
13	chr2:128183964:128185704:clu_93464_
13	chr2:128185840:128186207:clu_93464_
13	chr2:128183713:128189243:clu_93464_
13	chr2:128185840:128192203:clu_93464_
13	chr2:128189490:128192203:clu_93464_
13	chr2:128189490:128193785:clu_93464_
13	chr2:128192297:128193785:clu_93464_
13	chr2:128192297:128219063:clu_93464_
13	chr2:128193873:128219063:clu_93464_
13	chr2:128189494:128227562:clu_93464_
13	chr2:128193873:128224207:clu_93464_
13	chr2:128192297:128227562:clu_93464_
13	chr2:128193873:128226622:clu_93464_
13	chr2:128201794:128219063:clu_93464_
13	chr2:128201794:128219097:clu_93464_
13	chr2:128193873:128227562:clu_93464_
13	chr2:128218851:128219063:clu_93464_
13	chr2:128219195:128226622:clu_93464_
13	chr2:128219193:128227562:clu_93464_
13	chr2:128219195:128227562:clu_93464_
13	chr2:128219356:128227562:clu_93464_
13	chr2:128219360:128227562:clu_93464_
13	chr2:128221269:128227562:clu_93464_
13	chr2:128226684:128227096:clu_93464_
13	chr2:128226985:128227096:clu_93464_
13	chr2:128226684:128227562:clu_93464_
13	chr2:128227246:128227562:clu_93464_
13	chr2:128227291:128227562:clu_93464_
13	chr2:128398563:128399244:clu_93481_
13	chr2:128398563:128399624:clu_93481_
13	chr2:128399363:128399624:clu_93481_
13	chr2:128400647:128405612:clu_93482_
13	chr2:128400647:128407063:clu_93482_
13	chr2:128400647:128407998:clu_93482_
13	chr2:128403819:128408290:clu_237980_
13	chr2:128400647:128411998:clu_93482_
13	chr2:128406170:128407063:clu_93482_
13	ENSG00000144230.16
13	ENSG00000072163.20
14	chr2:212566478:212566692:clu_96456_
14	chr2:214149475:214161986:clu_240831_
14	chr2:214160834:214161986:clu_240831_
14	chr2:214162081:214181943:clu_240832_
14	chr2:214174901:214181943:clu_240832_
14	chr2:214182080:214215252:clu_240833_
14	chr2:214204994:214207522:clu_240833_
14	chr2:214207612:214208440:clu_240833_
14	chr2:214207612:214215252:clu_240833_
14	chr2:214208621:214215252:clu_240833_
14	ENSG00000144451.19
14	chr2:214727352:214878675:clu_240842_
14	ENSG00000138376.11
14	chr2:215634036:215645692:clu_96492_
14	chr2:215646233:215661785:clu_96492_
14	chr2:215646233:215674136:clu_96492_
14	chr2:215661841:215674136:clu_96492_
14	chr2:216820407:216861029:clu_96536_
15	chr2:212566478:212566692:clu_96456_
15	chr2:214149475:214161986:clu_240831_
15	chr2:214160834:214161986:clu_240831_
15	chr2:214162081:214181943:clu_240832_
15	chr2:214174901:214181943:clu_240832_
15	chr2:214182080:214215252:clu_240833_
15	chr2:214204994:214207522:clu_240833_
15	chr2:214207612:214208440:clu_240833_
15	chr2:214207612:214215252:clu_240833_
15	chr2:214208621:214215252:clu_240833_
15	ENSG00000144451.19
15	chr2:214727352:214878675:clu_240842_
15	ENSG00000138376.11
15	chr2:215634036:215645692:clu_96492_
15	chr2:215646233:215661785:clu_96492_
15	chr2:215646233:215674136:clu_96492_
15	chr2:215661841:215674136:clu_96492_
15	chr2:216177113:216177221:clu_240863_
15	ENSG00000138363.15
15	ENSG00000115414.21
15	chr2:216820407:216861029:clu_96536_
16	chr2:212566478:212566692:clu_96456_
16	chr2:214149475:214161986:clu_240831_
16	chr2:214160834:214161986:clu_240831_
16	chr2:214162081:214181943:clu_240832_
16	chr2:214174901:214181943:clu_240832_
16	chr2:214182080:214215252:clu_240833_
16	chr2:214204994:214207522:clu_240833_
16	chr2:214207612:214208440:clu_240833_
16	chr2:214207612:214215252:clu_240833_
16	chr2:214208621:214215252:clu_240833_
16	ENSG00000144451.19
16	chr2:214727352:214878675:clu_240842_
16	chr2:214972985:214973841:clu_240843_
16	ENSG00000138376.11
16	chr2:215634036:215645692:clu_96492_
16	chr2:215646233:215661785:clu_96492_
16	chr2:215646233:215674136:clu_96492_
16	chr2:215661841:215674136:clu_96492_
16	chr2:216177113:216177221:clu_240863_
16	ENSG00000138363.15
16	chr2:216244040:216246935:clu_96519_
16	ENSG00000115414.21
16	chr2:216820407:216861029:clu_96536_
17	chr3:6870391:6886766:clu_137159_
17	chr3:6903594:7188139:clu_137159_
17	chr3:7188355:7340371:clu_137160_
18	ENSG00000183960.9
18	chr3:19924223:19925238:clu_26333_
18	chr3:19924223:19925917:clu_26333_
18	chr3:19925422:19925895:clu_26333_
18	chr3:19926107:19938179:clu_26334_
18	chr3:19930143:19938179:clu_26334_
18	chr3:19941007:19941440:clu_26335_
18	chr3:19941007:19947112:clu_26335_
18	chr3:19941557:19947112:clu_26335_
18	ENSG00000163576.18
18	chr3:19956905:19958601:clu_26337_
18	chr3:19956905:19958603:clu_26337_
18	chr3:19956905:19959724:clu_26337_
18	chr3:19958695:19959724:clu_26337_
18	chr3:19961468:19961997:clu_26336_
18	chr3:19961468:19974722:clu_26336_
18	chr3:19962059:19974722:clu_26336_
18	chr3:19961468:19977633:clu_26336_
18	chr3:19962059:19977633:clu_26336_
18	chr3:19961468:19988411:clu_26336_
18	chr3:19962059:19988411:clu_26336_
18	chr3:19974957:19977633:clu_26336_
18	chr3:19977826:19978536:clu_26336_
18	chr3:19977826:19988411:clu_26336_
18	chr3:19978633:19987647:clu_26336_
18	chr3:19978633:19988411:clu_26336_
18	chr3:19985741:19988411:clu_26336_
18	chr3:19987746:19988140:clu_26336_
18	chr3:19987746:19988411:clu_26336_
18	chr3:19987757:19988411:clu_26336_
18	chr3:19988259:19988411:clu_26336_
18	ENSG00000144566.11
18	chr3:20019895:20020496:clu_137862_
18	chr3:20019895:20025200:clu_137862_
18	chr3:20020611:20025200:clu_137862_
18	ENSG00000114166.8
18	ENSG00000231304.2
19	chr3:48289167:48302303:clu_139137_
19	chr3:48298512:48299419:clu_139137_
19	chr3:48299451:48302303:clu_139137_
19	ENSG00000164048.14
19	chr3:48340013:48342017:clu_27582_
19	ENSG00000232112.3
19	ENSG00000164053.21
19	chr3:48507708:48508139:clu_139162_
19	chr3:48507708:48508464:clu_139162_
19	ENSG00000213689.14
19	chr3:48627990:48628106:clu_27658_
19	chr3:48628017:48628106:clu_27658_
19	chr3:48670465:48670684:clu_27678_
19	chr3:48716616:48716810:clu_27637_
19	ENSG00000213672.8
19	chr3:48719568:48719781:clu_27638_
19	chr3:48719589:48719781:clu_27638_
19	chr3:48730612:48732523:clu_27639_
19	chr3:48731673:48731892:clu_27639_
19	chr3:48731673:48732127:clu_27639_
19	chr3:48731673:48732523:clu_27639_
19	chr3:48731958:48732523:clu_27639_
19	chr3:48732257:48732523:clu_27639_
19	chr3:48732851:48754590:clu_27640_
19	chr3:48732854:48754590:clu_27640_
19	ENSG00000068745.15
19	chr3:48752960:48754590:clu_27640_
19	chr3:48960244:48962151:clu_139218_
19	chr3:48960244:48964895:clu_139218_
19	chr3:48962272:48964895:clu_139218_
19	ENSG00000177479.20
19	ENSG00000178467.18
19	ENSG00000178252.18
19	chr3:49138107:49138788:clu_27808_
19	chr3:49139138:49139261:clu_27808_
19	ENSG00000188315.8
19	ENSG00000114316.13
19	ENSG00000233276.8
19	chr3:49395180:49395460:clu_27458_
19	chr3:49395180:49395598:clu_27458_
19	ENSG00000283189.2
19	chr3:49462871:49463316:clu_27461_
19	ENSG00000164061.5
19	chr3:49721622:49721747:clu_28004_
19	chr3:49721622:49721804:clu_28004_
19	chr3:49722518:49722655:clu_28009_
19	chr3:49722522:49722655:clu_28009_
19	ENSG00000173531.15
19	chr3:49724718:49724989:clu_28012_
19	chr3:49735570:49735763:clu_139526_
19	chr3:49735959:49736413:clu_139527_
19	chr3:49738142:49738924:clu_139511_
19	chr3:49738142:49738966:clu_139511_
19	ENSG00000164068.16
19	chr3:49751607:49752925:clu_139534_
19	chr3:49751607:49753008:clu_139534_
19	ENSG00000173540.14
19	chr3:49785601:49822826:clu_27941_
19	chr3:49822933:49823787:clu_27941_
19	chr3:49849976:49850081:clu_28059_
19	ENSG00000164076.17
19	chr3:49948317:49950653:clu_28082_
19	ENSG00000164077.14
19	chr3:50000118:50009492:clu_139195_
19	ENSG00000004534.15
19	ENSG00000003756.17
19	chr3:50211319:50211485:clu_139634_
19	chr3:50221697:50222025:clu_139637_
19	chr3:50304319:50304713:clu_28190_
19	chr3:50304319:50304901:clu_28190_
19	chr3:50304319:50305602:clu_28190_
19	chr3:50305185:50305602:clu_28190_
19	chr3:50305185:50307604:clu_28190_
19	chr3:50326791:50326878:clu_28200_
19	ENSG00000186792.17
19	ENSG00000243477.6
19	chr3:50597168:50598348:clu_28236_
19	chr3:50597168:50599153:clu_28236_
19	chr3:50597168:50604894:clu_28236_
19	ENSG00000088543.15
19	chr3:50609232:50614483:clu_139699_
19	ENSG00000114735.10
19	ENSG00000145050.19
19	chr3:51674015:51675769:clu_139790_
19	ENSG00000090097.22
19	chr3:52445355:52448512:clu_139910_
19	chr3:52720218:52720785:clu_139982_
2	chr1:41536393:41537503:clu_211233_
2	chr1:42730860:42744019:clu_211281_
2	chr1:42731583:42744019:clu_211281_
2	chr1:42746106:42776721:clu_211281_
2	chr1:42896529:42898776:clu_211291_
2	ENSG00000066185.13
2	chr1:42905696:42914138:clu_211295_
2	chr1:42905696:42915589:clu_211295_
2	chr1:42902214:42921559:clu_211295_
2	chr1:42905696:42921559:clu_211295_
2	chr1:42905696:42921615:clu_211295_
2	chr1:42914306:42915589:clu_211295_
2	chr1:42914309:42915589:clu_211295_
2	chr1:42914309:42921559:clu_211295_
2	chr1:42915730:42921615:clu_211295_
2	chr1:42964587:42972618:clu_102918_
2	chr1:42964587:42986834:clu_102918_
2	chr1:42964587:43002147:clu_102918_
2	chr1:42986927:43031967:clu_102918_
2	ENSG00000186409.18
2	chr1:43032146:43042691:clu_102919_
2	chr1:43032146:43047031:clu_102919_
2	chr1:43042900:43046503:clu_102919_
2	chr1:43042900:43047031:clu_102919_
2	chr1:43042900:43047098:clu_102919_
2	chr1:43046652:43047031:clu_102919_
2	chr1:43049730:43054992:clu_102920_
2	chr1:43055154:43055966:clu_102921_
2	chr1:43074929:43076649:clu_102921_
2	chr1:43076761:43096075:clu_102922_
2	chr1:43096196:43102908:clu_102922_
2	ENSG00000171960.12
2	chr1:43212523:43212924:clu_211316_
2	chr1:43212523:43212943:clu_211316_
2	chr1:43221308:43223454:clu_211320_
2	ENSG00000164008.16
2	ENSG00000283580.3
2	chr1:43259412:43282102:clu_211323_
2	ENSG00000177868.12
2	chr1:43279571:43282102:clu_211323_
2	chr1:43279575:43282102:clu_211323_
2	chr1:43282251:43282425:clu_211324_
2	chr1:43291409:43296115:clu_102939_
2	chr1:43291409:43300709:clu_102939_
2	ENSG00000164010.15
2	chr1:43296786:43300709:clu_102939_
2	chr1:43315413:43316310:clu_102943_
2	ENSG00000117394.24
2	chr1:43425248:43426727:clu_102954_
2	chr1:43425248:43430192:clu_102954_
2	chr1:43425248:43431610:clu_102954_
2	chr1:43424598:43435920:clu_102954_
2	chr1:43424989:43435920:clu_102954_
2	chr1:43427867:43435920:clu_102954_
2	chr1:43430310:43435920:clu_102954_
2	chr1:43433345:43435920:clu_102954_
2	chr1:43436050:43439645:clu_102955_
2	chr1:43436065:43439645:clu_102955_
2	chr1:43436050:43448796:clu_102955_
2	chr1:43436065:43448796:clu_102955_
2	chr1:43439859:43445170:clu_102955_
2	chr1:43436050:43450097:clu_102955_
2	chr1:43436065:43450097:clu_102955_
2	ENSG00000227533.6
2	chr1:43439859:43448617:clu_102955_
2	chr1:43439859:43450097:clu_102955_
2	chr1:43446257:43448796:clu_102955_
2	chr1:43446257:43450097:clu_102955_
2	chr1:43436065:43461575:clu_102955_
2	chr1:43448982:43450097:clu_102955_
2	chr1:43450317:43450653:clu_102955_
2	chr1:43439859:43461575:clu_102955_
2	chr1:43436050:43466114:clu_102955_
2	chr1:43436065:43466114:clu_102955_
2	chr1:43439859:43466114:clu_102955_
2	chr1:43450317:43461575:clu_102955_
2	chr1:43450317:43466114:clu_102955_
2	chr1:43436050:43483517:clu_102955_
2	chr1:43436065:43483517:clu_102955_
2	chr1:43439859:43483517:clu_102955_
2	chr1:43450317:43483517:clu_102955_
2	chr1:43652530:43665061:clu_102969_
2	ENSG00000117395.13
2	chr1:43736464:43737855:clu_102982_
2	chr1:43738010:43738249:clu_102982_
2	chr1:43738010:43739305:clu_102982_
2	chr1:43775203:43776285:clu_102988_
2	ENSG00000066056.14
2	chr1:43779096:43779594:clu_102990_
2	chr1:43783743:43784917:clu_102992_
2	chr1:43785200:43786940:clu_102993_
2	chr1:43787386:43789807:clu_102994_
2	ENSG00000159479.17
2	chr1:43891822:43892039:clu_103021_
2	chr1:43898861:43900057:clu_103030_
2	chr1:43906257:43906895:clu_103034_
2	chr1:43906257:43906952:clu_103034_
2	chr1:43909148:43911565:clu_103037_
2	chr1:43915842:43916008:clu_103038_
2	chr1:43915842:43916510:clu_103038_
2	chr1:43916742:43917081:clu_211367_
2	chr1:43916742:43917099:clu_211367_
2	chr1:43917000:43917099:clu_211367_
2	chr1:43917008:43917099:clu_211367_
2	chr1:43917204:43917319:clu_211372_
2	chr1:43917388:43917499:clu_211373_
2	chr1:43917702:43917876:clu_211374_
2	chr1:43917717:43917876:clu_211374_
2	ENSG00000178922.18
2	chr1:43994427:44003869:clu_103039_
2	chr1:43996761:44003869:clu_103039_
2	chr1:44058272:44064391:clu_103056_
2	chr1:44063724:44064391:clu_103056_
2	ENSG00000126091.21
2	chr1:44386600:44387115:clu_103084_
2	chr1:44440779:44441472:clu_103111_
2	chr1:44440779:44441762:clu_103111_
2	chr1:44441520:44441762:clu_103111_
2	ENSG00000117410.14
2	chr1:44450727:44450950:clu_103117_
2	chr1:44451072:44455970:clu_103117_
2	chr1:44679221:44679335:clu_103147_
2	ENSG00000178028.14
2	chr1:44713710:44717085:clu_211461_
2	chr1:44804994:44818522:clu_211462_
2	ENSG00000187147.18
2	chr1:45101834:45103982:clu_103162_
2	chr1:45101834:45110370:clu_103162_
2	chr1:45150328:45155348:clu_103214_
2	chr1:45153991:45154763:clu_103214_
2	chr1:45140545:45169761:clu_103214_
2	chr1:45154896:45155414:clu_103214_
2	chr1:45155546:45169761:clu_103214_
2	chr1:45140545:45189794:clu_103214_
2	chr1:45165928:45166595:clu_103214_
2	chr1:45166791:45187852:clu_103214_
2	chr1:45169845:45187852:clu_103214_
2	chr1:45169845:45189475:clu_103214_
2	chr1:45169845:45189617:clu_103214_
2	chr1:45189578:45189657:clu_103214_
2	ENSG00000142937.12
2	ENSG00000280670.3
2	chr1:46016827:46032241:clu_103333_
2	chr1:46690182:46705450:clu_103405_
20	chr3:48289167:48302303:clu_139137_
20	chr3:48298512:48299419:clu_139137_
20	chr3:48299451:48302303:clu_139137_
20	ENSG00000164048.14
20	chr3:48340013:48342017:clu_27582_
20	ENSG00000232112.3
20	ENSG00000164053.21
20	chr3:48507708:48508139:clu_139162_
20	chr3:48507708:48508464:clu_139162_
20	ENSG00000213689.14
20	chr3:48627990:48628106:clu_27658_
20	chr3:48628017:48628106:clu_27658_
20	chr3:48670465:48670684:clu_27678_
20	chr3:48716616:48716810:clu_27637_
20	ENSG00000213672.8
20	chr3:48719568:48719781:clu_27638_
20	chr3:48719589:48719781:clu_27638_
20	chr3:48730612:48732523:clu_27639_
20	chr3:48731673:48731892:clu_27639_
20	chr3:48731673:48732127:clu_27639_
20	chr3:48731673:48732523:clu_27639_
20	chr3:48731958:48732523:clu_27639_
20	chr3:48732257:48732523:clu_27639_
20	chr3:48732851:48754590:clu_27640_
20	chr3:48732854:48754590:clu_27640_
20	ENSG00000068745.15
20	chr3:48752960:48754590:clu_27640_
20	chr3:48960244:48962151:clu_139218_
20	chr3:48960244:48964895:clu_139218_
20	chr3:48962272:48964895:clu_139218_
20	ENSG00000177479.20
20	ENSG00000178467.18
20	ENSG00000178252.18
20	chr3:49138107:49138788:clu_27808_
20	chr3:49139138:49139261:clu_27808_
20	ENSG00000188315.8
20	ENSG00000114316.13
20	ENSG00000233276.8
20	chr3:49395180:49395460:clu_27458_
20	chr3:49395180:49395598:clu_27458_
20	ENSG00000283189.2
20	chr3:49462871:49463316:clu_27461_
20	ENSG00000164061.5
20	chr3:49721622:49721747:clu_28004_
20	chr3:49721622:49721804:clu_28004_
20	chr3:49722518:49722655:clu_28009_
20	chr3:49722522:49722655:clu_28009_
20	ENSG00000173531.15
20	chr3:49724718:49724989:clu_28012_
20	chr3:49735570:49735763:clu_139526_
